,playerid,last_season_end_rating,new_season_start_rating,first_name,last_name,name
0,317,81.94694016283606,28.0,Sara,Hughes,Sara Hughes
1,316,81.94694016283606,28.0,Kelly,Claes,Kelly Claes
2,826,72.39315180782786,27.0,Crissy,Jones,Crissy Jones
3,330,71.88434658021666,27.0,Leigh,Andrew,Leigh Andrew
4,42,70.93024719221803,27.0,Nicole,McNamara,Nicole McNamara
5,333,70.88608982743725,27.0,Vanessa,Freire,Vanessa Freire
6,43,70.83158841207164,27.0,Megan,McNamara,Megan McNamara
7,71,70.36966641269494,27.0,Federica,Frasca,Federica Frasca
8,307,69.04508575887385,27.0,Madalyn,Roh,Madalyn Roh
9,306,69.04508575887385,27.0,Delaney,Knudsen,Delaney Knudsen
10,329,68.67563103653225,27.0,Brooke,Kuhlman,Brooke Kuhlman
11,195,66.09344197283211,27.0,Savannah,Slattery,Savannah Slattery
12,215,66.06374770164744,27.0,Sarah,Sponcil,Sarah Sponcil
13,309,65.45910847462366,27.0,Corinne,Quiggle,Corinne Quiggle
14,308,65.45910847462362,27.0,Brittany,Howard,Brittany Howard
15,417,65.01726241922896,27.0,Adrianna,Culbert,Adrianna Culbert
16,163,64.43366234999364,27.0,Mikayla,Tucker,Mikayla Tucker
17,162,64.43366234999364,27.0,Morgan,Martin,Morgan Martin
18,827,64.13228588946065,27.0,Tia,Scambray,Tia Scambray
19,382,64.03055314755687,27.0,Payton,Rund,Payton Rund
20,383,64.03055314755687,27.0,Lindsey,Knudsen,Lindsey Knudsen
21,318,63.69853503915487,27.0,Allie,Wheeler,Allie Wheeler
22,335,63.62476713431999,27.0,Claire,Coppola,Claire Coppola
23,336,63.62476713431999,27.0,Kristen,Nuss,Kristen Nuss
24,63,62.92594833286712,27.0,Adlee,Van Winden,Adlee Van Winden
25,60,62.61503895908895,27.0,Emily,Sonny,Emily Sonny
26,61,62.61503895908895,27.0,Hannah,Hubbard,Hannah Hubbard
27,82,62.443617157631,27.0,Jessalyn,Kinlaw,Jessalyn Kinlaw
28,164,62.20140463723457,27.0,Nikki,Taylor,Nikki Taylor
29,319,61.29955316259691,25.0,Sophie,Bukovec,Sophie Bukovec
30,165,61.19174363884665,25.0,Ka'iwi,Schucht,Ka'iwi Schucht
31,142,61.06156354966875,25.0,Madison,Witt,Madison Witt
32,143,61.06156354966873,25.0,Mckenna,Witt,Mckenna Witt
33,173,60.93069635154473,25.0,Bianca,Arellano,Bianca Arellano
34,174,60.930696351544675,25.0,Whitney,Follette,Whitney Follette
35,206,60.9077525468976,25.0,Molly,Turner,Molly Turner
36,414,60.80972599513711,25.0,Katie,Smith,Katie Smith
37,80,60.792472874250045,25.0,Margherita,Bianchin,Margherita Bianchin
38,363,60.580506165655684,25.0,Nele,Barber,Nele Barber
39,362,60.580506165655684,25.0,Rachel,Nieto,Rachel Nieto
40,205,60.450959895551534,25.0,Tjasa,Kotnik,Tjasa Kotnik
41,437,60.35498130657061,25.0,Chelsea,Ross,Chelsea Ross
42,62,59.93837040445391,25.0,Taylor,Nelson,Taylor Nelson
